revision_label	workload	rc	opt_done	opt_failed	graph_too_big	frame_escape	deep_inlining	stack_overflow	bootstrap_error
pre-perf002	micro/slot-read	0	6	3	0	3	0	0	0
post-perf002	micro/slot-read	0	12	0	0	0	0	0	0
pre-perf002	micro/slot-write	0	6	3	0	3	0	0	0
post-perf002	micro/slot-write	0	12	0	0	0	0	0	0
pre-perf002	micro/closure-call	0	8	4	0	4	0	0	0
post-perf002	micro/closure-call	0	16	0	0	0	0	0	0
pre-perf002	micro/method-call	0	8	4	0	4	0	0	0
post-perf002	micro/method-call	0	16	0	0	0	0	0	0
pre-perf002	micro/object-creation	0	6	4	0	4	0	0	0
post-perf002	micro/object-creation	0	14	0	0	0	0	0	0
pre-perf002	micro/delegation-shallow	0	6	3	0	3	0	0	0
post-perf002	micro/delegation-shallow	0	12	0	0	0	0	0	0
pre-perf002	micro/delegation-deep	0	6	3	0	3	0	0	0
post-perf002	micro/delegation-deep	0	12	0	0	0	0	0	0
pre-perf002	runtime/monomorphic-dispatch	0	8	4	0	4	0	0	0
post-perf002	runtime/monomorphic-dispatch	0	16	0	0	0	0	0	0
pre-perf002	runtime/polymorphic-dispatch	0	8	4	0	4	0	0	0
post-perf002	runtime/polymorphic-dispatch	0	16	0	0	0	0	0	0
pre-perf002	algorithms/factorial/recursive	0	1	1	0	1	0	0	0
post-perf002	algorithms/factorial/recursive	0	2	0	0	0	0	0	0
pre-perf002	algorithms/fibonacci/recursive	0	4	2	0	2	0	0	0
post-perf002	algorithms/fibonacci/recursive	0	8	0	0	0	0	0	0
