revision_label	protos_revision	implementation_version	mode	workload	startup_median_ns	startup_mad_ns	warmup_first5_median_ns	warmup_last5_median_ns	steady_median_ns	steady_mad_ns	steady_p95_ns
pre-perf002	8f363d0146164f99e72210eb44667f4efb7b88e7	0.2.161-SNAPSHOT	interpreter	micro/slot-read	1496951772.5	36891406.0	149396017	34460272	40373591.5	7791565.5	59177189
pre-perf002	8f363d0146164f99e72210eb44667f4efb7b88e7	0.2.161-SNAPSHOT	truffle	micro/slot-read	2404739120.5	77240370.5	88798329	36942415	32789252.0	4030978.0	40412567
post-perf002	3c93912a5579326374782a43527fbb51046f8f91	0.2.162-SNAPSHOT	interpreter	micro/slot-read	1492579433.5	18171489.0	124154312	32285121	35884723.5	3852367.0	72131217
post-perf002	3c93912a5579326374782a43527fbb51046f8f91	0.2.162-SNAPSHOT	truffle	micro/slot-read	3835350945.5	50863741.5	85888310	39874107	40128963.0	2396467.0	75547622
pre-perf002	8f363d0146164f99e72210eb44667f4efb7b88e7	0.2.161-SNAPSHOT	interpreter	micro/slot-write	1583040003.5	50601357.0	127815870	36845756	43901976.0	9097266.5	76686354
pre-perf002	8f363d0146164f99e72210eb44667f4efb7b88e7	0.2.161-SNAPSHOT	truffle	micro/slot-write	2470388977.0	133049802.5	123671759	44926963	45275378.0	7297495.0	80119638
post-perf002	3c93912a5579326374782a43527fbb51046f8f91	0.2.162-SNAPSHOT	interpreter	micro/slot-write	1573387443.0	36611243.0	106989427	30844932	37802422.0	6577000.0	73045303
post-perf002	3c93912a5579326374782a43527fbb51046f8f91	0.2.162-SNAPSHOT	truffle	micro/slot-write	4341831277.0	80346087.0	112508593	44363333	39804769.5	2707741.5	81821051
pre-perf002	8f363d0146164f99e72210eb44667f4efb7b88e7	0.2.161-SNAPSHOT	interpreter	micro/closure-call	1644024949.5	47962196.5	173671200	38146628	48174091.0	10840228.0	82177461
pre-perf002	8f363d0146164f99e72210eb44667f4efb7b88e7	0.2.161-SNAPSHOT	truffle	micro/closure-call	2799629833.5	265459326.0	120218572	36302408	35412167.0	4950263.5	66069080
post-perf002	3c93912a5579326374782a43527fbb51046f8f91	0.2.162-SNAPSHOT	interpreter	micro/closure-call	1623152812.5	31831428.5	163603233	41786651	80955281.5	33439110.0	140199826
post-perf002	3c93912a5579326374782a43527fbb51046f8f91	0.2.162-SNAPSHOT	truffle	micro/closure-call	4170534620.5	90692658.0	98181736	69291644	39939345.5	2831493.0	79108532
pre-perf002	8f363d0146164f99e72210eb44667f4efb7b88e7	0.2.161-SNAPSHOT	interpreter	micro/method-call	1587328160.0	26273920.5	165881449	48754628	41683547.5	4890148.5	80344293
pre-perf002	8f363d0146164f99e72210eb44667f4efb7b88e7	0.2.161-SNAPSHOT	truffle	micro/method-call	2598314473.0	65030323.0	154287372	30993534	33850516.5	3848208.0	67898543
post-perf002	3c93912a5579326374782a43527fbb51046f8f91	0.2.162-SNAPSHOT	interpreter	micro/method-call	1550185011.5	24999252.5	100467188	34911018	38884890.0	4521233.0	73837728
