language	workload	startup_median_ns	startup_mad_ns	warmup_first5_median_ns	warmup_last5_median_ns	steady_median_ns	steady_mad_ns	steady_p95_ns
protos	collections/array-map	4649879623.5	83914771.0	2105646624	1766310538	1715189524.0	31651960.0	1857855941
python	collections/array-map	10175751.5	198680.0	206440	202500	210635.0	3625.0	219240
javascript	collections/array-map	36612268.0	1167580.0	1149279	126940	28065.0	2735.0	444990
protos	collections/array-filter	11365262471.5	119634836.0	9387429890	9226970694	9142870650.0	97518449.5	9409435083
python	collections/array-filter	10754439.0	360934.5	152730	139550	140435.0	780.0	148370
javascript	collections/array-filter	36169533.0	641900.0	544070	16620	17445.0	800.0	19700
protos	collections/array-reduce	6179287592.0	72618284.0	2763631295	2487436103	2546874664.0	85449608.0	2696456404
python	collections/array-reduce	10702325.0	79995.0	510850	508890	510195.0	6625.0	773500
javascript	collections/array-reduce	36601880.0	955440.0	777880	25300	25310.0	50.0	28390
protos	collections/array-sort	17275789311.0	73686052.5	14918606681	14791988888	14939214996.5	195380266.0	15386275529
python	collections/array-sort	14234911.5	246765.5	3401641	3325690	3332775.0	13900.5	3367371
javascript	collections/array-sort	37917298.0	1720135.5	1086300	311710	314685.0	11080.0	386450
protos	collections/map-lookup-update	5368274445.5	52115911.5	44504336	14732184	7338772.5	927572.5	15685477
python	collections/map-lookup-update	9996260.5	96220.5	131630	133370	132316.0	830.5	135730
javascript	collections/map-lookup-update	32164722.5	1255098.5	56220	39680	41500.0	7080.0	158901
protos	collections/set-algebra	3238891886.0	57186247.0	1874156228	1702022660	1699809287.0	31439413.0	1934201997
python	collections/set-algebra	10959847.5	148575.0	700172	724801	703761.5	2939.5	718622
javascript	collections/set-algebra	35685090.0	869902.0	612771	403491	388031.0	41230.0	584032
