workload	kind	width	cpuset	phase	samples	median_ns	mad_ns	p95_ns	min_ns	max_ns	speedup_vs_width1	efficiency
concurrency/future-roundtrip	fixed-cost	1	0	startup	10	1809157737.5	24308831.0	1976708128	1778029826	1976708128	NA	NA
concurrency/future-roundtrip	fixed-cost	1	0	warmup	20	253077512.5	104658891.5	498757085	130460939	761809477	NA	NA
concurrency/future-roundtrip	fixed-cost	1	0	steady	20	138067141.0	11882127.5	187097532	124533901	191197248	NA	NA
concurrency/future-fanout-all	fixed-cost	1	0	startup	10	2781615848.5	33559948.5	2908896834	2539699738	2908896834	NA	NA
concurrency/future-fanout-all	fixed-cost	1	0	warmup	20	493751509.5	89623924.0	1407854560	393768730	1682853044	NA	NA
concurrency/future-fanout-all	fixed-cost	1	0	steady	20	411950901.0	20130299.0	506823313	373691531	551118587	NA	NA
concurrency/parallel-roundtrip	fixed-cost	1	0	startup	10	1652860313.5	46434628.0	2248064361	1516234211	2248064361	NA	NA
concurrency/parallel-roundtrip	fixed-cost	1	0	warmup	20	143540166.5	46732297.5	361373052	70749922	520277011	NA	NA
concurrency/parallel-roundtrip	fixed-cost	1	0	steady	20	60405257.0	5135152.5	83865361	52472225	85098803	NA	NA
concurrency/parallel-array-map	strong-scaling	1	0	startup	10	3769023460.5	61315433.0	4074787590	3596733408	4074787590	NA	NA
concurrency/parallel-array-map	strong-scaling	1	0	warmup	20	456707372.0	67533202.5	1872645575	281226535	2667927869	NA	NA
concurrency/parallel-array-map	strong-scaling	1	0	steady	20	343126619.0	61470081.5	477845171	278628384	513263498	1.000000	1.000000
concurrency/parallel-array-map	strong-scaling	2	0,1	startup	10	2041081347.5	88635787.0	2180643273	1847430185	2180643273	NA	NA
concurrency/parallel-array-map	strong-scaling	2	0,1	warmup	20	223685701.0	52455410.5	1131868973	161377293	1405378378	NA	NA
concurrency/parallel-array-map	strong-scaling	2	0,1	steady	20	245557858.0	28757366.5	291202431	165140777	300359973	1.397335	0.698668
concurrency/parallel-array-map	strong-scaling	4	0,1,2,3	startup	10	1507932999.5	26417112.5	1677960846	1469972227	1677960846	NA	NA
concurrency/parallel-array-map	strong-scaling	4	0,1,2,3	warmup	20	157801122.5	16548750.0	765486374	122106098	1104833834	NA	NA
concurrency/parallel-array-map	strong-scaling	4	0,1,2,3	steady	20	132915030.0	4461929.0	146157217	116864753	153147699	2.581549	0.645387
concurrency/parallel-array-map	strong-scaling	8	0,1,2,3,4,5,6,7	startup	10	1507119107.5	50185854.5	1629343347	1399397830	1629343347	NA	NA
concurrency/parallel-array-map	strong-scaling	8	0,1,2,3,4,5,6,7	warmup	20	111432348.0	29494946.5	689929519	75341153	1131753150	NA	NA
concurrency/parallel-array-map	strong-scaling	8	0,1,2,3,4,5,6,7	steady	20	82315936.5	3701626.0	97229129	74036167	101889978	4.168411	0.521051
concurrency/actor-request-roundtrip	fixed-cost	1	0	startup	10	1607492596.5	44634445.5	1788189245	1508318591	1788189245	NA	NA
concurrency/actor-request-roundtrip	fixed-cost	1	0	warmup	20	140080567.0	26411088.0	259997790	89850760	419014217	NA	NA
concurrency/actor-request-roundtrip	fixed-cost	1	0	steady	20	78068353.5	5299487.5	95305948	50629113	103988118	NA	NA
concurrency/actor-fanout-requests	strong-scaling	1	0	startup	10	1780755521.5	62746231.0	1914418427	1687467478	1914418427	NA	NA
concurrency/actor-fanout-requests	strong-scaling	1	0	warmup	20	135369635.0	8721792.0	237621111	83455458	463917605	NA	NA
concurrency/actor-fanout-requests	strong-scaling	1	0	steady	20	72693617.5	4949909.0	82347601	63125723	86237013	1.000000	1.000000
concurrency/actor-fanout-requests	strong-scaling	2	0,1	startup	10	952406447.5	47970725.0	1096301806	837963093	1096301806	NA	NA
concurrency/actor-fanout-requests	strong-scaling	2	0,1	warmup	20	69506965.0	12192903.0	110769268	43245360	248391689	NA	NA
concurrency/actor-fanout-requests	strong-scaling	2	0,1	steady	20	33505990.0	1503427.0	41072494	31047345	42505061	2.169571	1.084785
concurrency/actor-fanout-requests	strong-scaling	4	0,1,2,3	startup	10	702915585.5	38056808.0	792009013	635063891	792009013	NA	NA
concurrency/actor-fanout-requests	strong-scaling	4	0,1,2,3	warmup	20	51516480.5	9831739.5	85844675	35977057	166314212	NA	NA
concurrency/actor-fanout-requests	strong-scaling	4	0,1,2,3	steady	20	30936657.5	1822611.5	37354124	27168295	38506222	2.349757	0.587439
concurrency/actor-fanout-requests	strong-scaling	8	0,1,2,3,4,5,6,7	startup	10	686726801.0	21082009.0	782698199	660754583	782698199	NA	NA
concurrency/actor-fanout-requests	strong-scaling	8	0,1,2,3,4,5,6,7	warmup	20	46143354.0	5710658.5	62519386	34597022	138278827	NA	NA
concurrency/actor-fanout-requests	strong-scaling	8	0,1,2,3,4,5,6,7	steady	20	30977989.0	1227362.5	35990099	26210348	40031271	2.346622	0.293328
