class	key	mode	repeat	source	expected	actual	rc	opt_done	opt_failed	graph_too_big	frame_escape	deep_inlining	stack_overflow	bootstrap_error
semantic	closure-local-call-override	interpreter	1	protos/tests/conformance/call/closure-local-call-override.protos	7	7	0	0	0	0	0	0	0	0
semantic	closure-local-call-override	truffle	1	protos/tests/conformance/call/closure-local-call-override.protos	7	7	0	0	0	0	0	0	0	0
semantic	extracted-method-freshness-and-state	interpreter	1	protos/tests/conformance/call/extracted-method-freshness-and-state.protos	true	true	0	0	0	0	0	0	0	0
semantic	extracted-method-freshness-and-state	truffle	1	protos/tests/conformance/call/extracted-method-freshness-and-state.protos	true	true	0	0	0	0	0	0	0	0
workload	micro/slot-read	interpreter	1	protos/benchmarks/micro/slot-read.protos	42	42	0	0	0	0	0	0	0	0
workload	micro/slot-read	truffle	1	protos/benchmarks/micro/slot-read.protos	42	42	0	12	0	0	0	0	0	0
workload	micro/slot-write	interpreter	1	protos/benchmarks/micro/slot-write.protos	10000	10000	0	0	0	0	0	0	0	0
workload	micro/slot-write	truffle	1	protos/benchmarks/micro/slot-write.protos	10000	10000	0	12	0	0	0	0	0	0
workload	micro/closure-call	interpreter	1	protos/benchmarks/micro/closure-call.protos	42	42	0	0	0	0	0	0	0	0
workload	micro/closure-call	truffle	1	protos/benchmarks/micro/closure-call.protos	42	42	0	16	0	0	0	0	0	0
workload	micro/method-call	interpreter	1	protos/benchmarks/micro/method-call.protos	42	42	0	0	0	0	0	0	0	0
workload	micro/method-call	truffle	1	protos/benchmarks/micro/method-call.protos	42	42	0	16	0	0	0	0	0	0
workload	micro/object-creation	interpreter	1	protos/benchmarks/micro/object-creation.protos	42	42	0	0	0	0	0	0	0	0
workload	micro/object-creation	truffle	1	protos/benchmarks/micro/object-creation.protos	42	42	0	14	0	0	0	0	0	0
workload	micro/delegation-shallow	interpreter	1	protos/benchmarks/micro/delegation-shallow.protos	42	42	0	0	0	0	0	0	0	0
workload	micro/delegation-shallow	truffle	1	protos/benchmarks/micro/delegation-shallow.protos	42	42	0	12	0	0	0	0	0	0
workload	micro/delegation-deep	interpreter	1	protos/benchmarks/micro/delegation-deep.protos	42	42	0	0	0	0	0	0	0	0
workload	micro/delegation-deep	truffle	1	protos/benchmarks/micro/delegation-deep.protos	42	42	0	12	0	0	0	0	0	0
workload	runtime/monomorphic-dispatch	interpreter	1	protos/benchmarks/runtime/monomorphic-dispatch.protos	42	42	0	0	0	0	0	0	0	0
workload	runtime/monomorphic-dispatch	truffle	1	protos/benchmarks/runtime/monomorphic-dispatch.protos	42	42	0	16	0	0	0	0	0	0
workload	runtime/polymorphic-dispatch	interpreter	1	protos/benchmarks/runtime/polymorphic-dispatch.protos	15000	15000	0	0	0	0	0	0	0	0
workload	runtime/polymorphic-dispatch	truffle	1	protos/benchmarks/runtime/polymorphic-dispatch.protos	15000	15000	0	12	0	0	0	0	0	0
workload	algorithms/factorial/recursive	interpreter	1	protos/benchmarks/algorithms/factorial/recursive.protos	2432902008176640000	2432902008176640000	0	0	0	0	0	0	0	0
workload	algorithms/factorial/recursive	truffle	1	protos/benchmarks/algorithms/factorial/recursive.protos	2432902008176640000	2432902008176640000	0	0	0	0	0	0	0	0
workload	algorithms/fibonacci/recursive	interpreter	1	protos/benchmarks/algorithms/fibonacci/recursive.protos	832040	832040	0	0	0	0	0	0	0	0
workload	algorithms/fibonacci/recursive	truffle	1	protos/benchmarks/algorithms/fibonacci/recursive.protos	832040	832040	0	8	0	0	0	0	0	0
stability	runtime/polymorphic-dispatch	truffle	2	protos/benchmarks/runtime/polymorphic-dispatch.protos	15000	15000	0	12	0	0	0	0	0	0
stability	runtime/polymorphic-dispatch	truffle	3	protos/benchmarks/runtime/polymorphic-dispatch.protos	15000	15000	0	12	0	0	0	0	0	0
stability	runtime/polymorphic-dispatch	truffle	4	protos/benchmarks/runtime/polymorphic-dispatch.protos	15000	15000	0	12	0	0	0	0	0	0
stability	runtime/polymorphic-dispatch	truffle	5	protos/benchmarks/runtime/polymorphic-dispatch.protos	15000	15000	0	12	0	0	0	0	0	0
stability	runtime/polymorphic-dispatch	truffle	6	protos/benchmarks/runtime/polymorphic-dispatch.protos	15000	15000	0	12	0	0	0	0	0	0
stability	runtime/polymorphic-dispatch	truffle	7	protos/benchmarks/runtime/polymorphic-dispatch.protos	15000	15000	0	12	0	0	0	0	0	0
stability	runtime/polymorphic-dispatch	truffle	8	protos/benchmarks/runtime/polymorphic-dispatch.protos	15000	15000	0	12	0	0	0	0	0	0
stability	runtime/polymorphic-dispatch	truffle	9	protos/benchmarks/runtime/polymorphic-dispatch.protos	15000	15000	0	12	0	0	0	0	0	0
stability	runtime/polymorphic-dispatch	truffle	10	protos/benchmarks/runtime/polymorphic-dispatch.protos	15000	15000	0	12	0	0	0	0	0	0
