source_bgv	dump_id	graph_type	graph_name	nodes	edges
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	0	StructuredGraph	0: After PE Tier	591	1285
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	0	defaultType	0: After TruffleTier	2	1
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	0	defaultType	0: Before Inline	1	0
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	1	StructuredGraph	1: After phase AgnosticInlining	591	1285
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	1	defaultType	1: After Inline	1	0
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	2	StructuredGraph	2: After phase InstrumentationSuite	591	1285
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	3	StructuredGraph	3: performance warnings [372|MethodCallTarget, 386|MethodCallTarget, 986|MethodCallTarget, 1101|MethodCallTarget, 1136|MethodCallTarget, 1149|MethodCallTarget, 1175|MethodCallTarget, 1251|MethodCallTarget, 1266|MethodCallTarget, 1546|MethodCallTarget, 1561|MethodCallTarget, 479|InstanceOf]	591	1285
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	4	StructuredGraph	4: After phase ReportPerformanceWarnings	591	1285
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	5	StructuredGraph	5: After phase VerifyFrameDoesNotEscape	591	1285
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	6	StructuredGraph	6: After phase NeverPartOfCompilation	591	1285
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	7	StructuredGraph	7: After phase MaterializeFrames	591	1285
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	8	StructuredGraph	8: After phase SetIdentityForValueTypes	591	1285
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	9	StructuredGraph	9: After phase InliningAcrossTruffleBoundary	591	1285
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	10	StructuredGraph	10: After phase TruffleTier	591	1285
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	11	StructuredGraph	11: After TruffleTier	591	1285
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	12	StructuredGraph	12: initial state	591	1285
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	13	StructuredGraph	13: After phase Canonicalizer	588	1278
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	14	StructuredGraph	14: Before phase HighTierLowering	588	1278
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	15	StructuredGraph	15: After phase HighTierLowering	725	1489
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	16	StructuredGraph	16: After phase EconomyHighTier	725	1489
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	17	StructuredGraph	17: After high tier	725	1489
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	18	StructuredGraph	18: After phase RemoveValueProxy	724	1487
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	19	StructuredGraph	19: After phase TruffleSafepointInsertion	728	1493
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	20	StructuredGraph	20: After phase LoopSafepointInsertion	730	1495
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	21	StructuredGraph	21: After phase GuardLowering	865	1630
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	22	StructuredGraph	22: After phase MidTierLowering	975	1825
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	23	StructuredGraph	23: After phase FrameStateAssignment	969	1856
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	24	StructuredGraph	24: After phase Canonicalizer	965	1850
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	25	StructuredGraph	25: After phase WriteBarrierAddition	966	1852
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	26	StructuredGraph	26: After phase EconomyMidTier	966	1852
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	27	StructuredGraph	27: After mid tier	966	1852
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	28	StructuredGraph	28: After phase LowTierLowering	1796	3435
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	29	StructuredGraph	29: After phase ExpandLogic	1824	3469
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	30	StructuredGraph	30: After phase UseTrappingNullChecks	1760	3349
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	31	StructuredGraph	31: After phase AddressLoweringByNode	1734	3130
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	32	StructuredGraph	32: After phase Schedule	1658	3130
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	33	StructuredGraph	33: After phase EconomyLowTier	1658	3130
graal_dumps/TruffleHotSpotCompilation-1976[ProtosRootNode@1564c23b].bgv	34	StructuredGraph	34: After low tier	1658	3130
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	0	StructuredGraph	0: After PE Tier	20851	52347
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	0	defaultType	0: After TruffleTier	21	20
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	0	defaultType	0: Before Inline	1	0
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	1	StructuredGraph	1: After phase AgnosticInlining	20851	52347
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	1	defaultType	1: After Inline	1	0
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	2	StructuredGraph	2: After phase InstrumentationSuite	20851	52347
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	3	StructuredGraph	3: performance warnings [506|MethodCallTarget, 522|MethodCallTarget, 569|MethodCallTarget, 580|MethodCallTarget, 598|MethodCallTarget, 618|MethodCallTarget, 632|MethodCallTarget, 710|MethodCallTarget, 737|MethodCallTarget, 751|MethodCallTarget, 1704|MethodCallTarget, 1719|MethodCallTarget, 1858|MethodCallTarget, 1873|MethodCallTarget, 2372|MethodCallTarget, 2388|MethodCallTarget, 2435|MethodCallTarget, 2446|MethodCallTarget, 2464|MethodCallTarget, 2484|MethodCallTarget, 2498|MethodCallTarget, 2576|MethodCallTarget, 2603|MethodCallTarget, 2617|MethodCallTarget, 3543|MethodCallTarget, 3558|MethodCallTarget, 3696|MethodCallTarget, 3711|MethodCallTarget, 4075|MethodCallTarget, 4089|MethodCallTarget, 4205|MethodCallTarget, 4627|MethodCallTarget, 4642|MethodCallTarget, 5127|MethodCallTarget, 5154|MethodCallTarget, 5168|MethodCallTarget, 6017|MethodCallTarget, 6032|MethodCallTarget, 6170|MethodCallTarget, 6185|MethodCallTarget, 6562|MethodCallTarget, 6577|MethodCallTarget, 7048|MethodCallTarget, 7250|MethodCallTarget, 7267|MethodCallTarget, 7444|MethodCallTarget, 7480|MethodCallTarget, 7491|MethodCallTarget, 7509|MethodCallTarget, 7524|MethodCallTarget, 7605|MethodCallTarget, 7618|MethodCallTarget, 8272|MethodCallTarget, 8289|MethodCallTarget, 8466|MethodCallTarget, 8501|MethodCallTarget, 8512|MethodCallTarget, 8530|MethodCallTarget, 8545|MethodCallTarget, 8625|MethodCallTarget, 8638|MethodCallTarget, 9270|MethodCallTarget, 10832|MethodCallTarget, 10847|MethodCallTarget, 11106|MethodCallTarget, 11118|MethodCallTarget, 11382|MethodCallTarget, 11398|MethodCallTarget, 11445|MethodCallTarget, 11456|MethodCallTarget, 11474|MethodCallTarget, 11494|MethodCallTarget, 11508|MethodCallTarget, 11586|MethodCallTarget, 11613|MethodCallTarget, 11627|MethodCallTarget, 12553|MethodCallTarget, 12568|MethodCallTarget, 12706|MethodCallTarget, 12721|MethodCallTarget, 13438|MethodCallTarget, 13453|MethodCallTarget, 13931|MethodCallTarget, 13958|MethodCallTarget, 13972|MethodCallTarget, 14819|MethodCallTarget, 14834|MethodCallTarget, 14972|MethodCallTarget, 14987|MethodCallTarget, 15364|MethodCallTarget, 15379|MethodCallTarget, 15846|MethodCallTarget, 16047|MethodCallTarget, 16064|MethodCallTarget, 16241|MethodCallTarget, 16276|MethodCallTarget, 16287|MethodCallTarget, 16305|MethodCallTarget, 16320|MethodCallTarget, 16400|MethodCallTarget, 16413|MethodCallTarget, 17066|MethodCallTarget, 17083|MethodCallTarget, 17260|MethodCallTarget, 17295|MethodCallTarget, 17306|MethodCallTarget, 17324|MethodCallTarget, 17339|MethodCallTarget, 17419|MethodCallTarget, 17432|MethodCallTarget, 18063|MethodCallTarget, 19618|MethodCallTarget, 19633|MethodCallTarget, 20055|MethodCallTarget, 20247|MethodCallTarget, 20756|MethodCallTarget, 20769|MethodCallTarget, 21170|MethodCallTarget, 21185|MethodCallTarget, 21665|MethodCallTarget, 21692|MethodCallTarget, 21706|MethodCallTarget, 22553|MethodCallTarget, 22568|MethodCallTarget, 22706|MethodCallTarget, 22721|MethodCallTarget, 23098|MethodCallTarget, 23113|MethodCallTarget, 23580|MethodCallTarget, 23781|MethodCallTarget, 23798|MethodCallTarget, 23975|MethodCallTarget, 24010|MethodCallTarget, 24021|MethodCallTarget, 24039|MethodCallTarget, 24054|MethodCallTarget, 24134|MethodCallTarget, 24147|MethodCallTarget, 24800|MethodCallTarget, 24817|MethodCallTarget, 24994|MethodCallTarget, 25029|MethodCallTarget, 25040|MethodCallTarget, 25058|MethodCallTarget, 25073|MethodCallTarget, 25153|MethodCallTarget, 25166|MethodCallTarget, 25797|MethodCallTarget, 27352|MethodCallTarget, 27367|MethodCallTarget, 27835|MethodCallTarget, 27851|MethodCallTarget, 27898|MethodCallTarget, 27909|MethodCallTarget, 27927|MethodCallTarget, 27947|MethodCallTarget, 27961|MethodCallTarget, 28039|MethodCallTarget, 28066|MethodCallTarget, 28080|MethodCallTarget, 29006|MethodCallTarget, 29021|MethodCallTarget, 29159|MethodCallTarget, 29174|MethodCallTarget, 29891|MethodCallTarget, 29906|MethodCallTarget, 30384|MethodCallTarget, 30411|MethodCallTarget, 30425|MethodCallTarget, 31272|MethodCallTarget, 31287|MethodCallTarget, 31425|MethodCallTarget, 31440|MethodCallTarget, 31817|MethodCallTarget, 31832|MethodCallTarget, 32299|MethodCallTarget, 32500|MethodCallTarget, 32517|MethodCallTarget, 32694|MethodCallTarget, 32729|MethodCallTarget, 32740|MethodCallTarget, 32758|MethodCallTarget, 32773|MethodCallTarget, 32853|MethodCallTarget, 32866|MethodCallTarget, 33519|MethodCallTarget, 33536|MethodCallTarget, 33713|MethodCallTarget, 33748|MethodCallTarget, 33759|MethodCallTarget, 33777|MethodCallTarget, 33792|MethodCallTarget, 33872|MethodCallTarget, 33885|MethodCallTarget, 34516|MethodCallTarget, 36071|MethodCallTarget, 36086|MethodCallTarget, 36508|MethodCallTarget, 36700|MethodCallTarget, 37208|MethodCallTarget, 37221|MethodCallTarget, 37622|MethodCallTarget, 37637|MethodCallTarget, 38117|MethodCallTarget, 38144|MethodCallTarget, 38158|MethodCallTarget, 39005|MethodCallTarget, 39020|MethodCallTarget, 39158|MethodCallTarget, 39173|MethodCallTarget, 39550|MethodCallTarget, 39565|MethodCallTarget, 40032|MethodCallTarget, 40233|MethodCallTarget, 40250|MethodCallTarget, 40427|MethodCallTarget, 40462|MethodCallTarget, 40473|MethodCallTarget, 40491|MethodCallTarget, 40506|MethodCallTarget, 40586|MethodCallTarget, 40599|MethodCallTarget, 41252|MethodCallTarget, 41269|MethodCallTarget, 41446|MethodCallTarget, 41481|MethodCallTarget, 41492|MethodCallTarget, 41510|MethodCallTarget, 41525|MethodCallTarget, 41605|MethodCallTarget, 41618|MethodCallTarget, 42249|MethodCallTarget, 43804|MethodCallTarget, 43819|MethodCallTarget, 700|InstanceOf, 2566|InstanceOf, 4182|InstanceOf, 5117|InstanceOf, 7576|InstanceOf, 7710|InstanceOf, 8596|InstanceOf, 8730|InstanceOf, 9267|InstanceOf, 11576|InstanceOf, 13921|InstanceOf, 16371|InstanceOf, 16505|InstanceOf, 17390|InstanceOf, 17524|InstanceOf, 18060|InstanceOf, 20727|InstanceOf, 20861|InstanceOf, 21655|InstanceOf, 24105|InstanceOf, 24239|InstanceOf, 25124|InstanceOf, 25258|InstanceOf, 25794|InstanceOf, 28029|InstanceOf, 30374|InstanceOf, 32824|InstanceOf, 32958|InstanceOf, 33843|InstanceOf, 33977|InstanceOf, 34513|InstanceOf, 37179|InstanceOf, 37313|InstanceOf, 38107|InstanceOf, 40557|InstanceOf, 40691|InstanceOf, 41576|InstanceOf, 41710|InstanceOf, 42246|InstanceOf]	20851	52347
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	4	StructuredGraph	4: After phase ReportPerformanceWarnings	20851	52347
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	5	StructuredGraph	5: After phase VerifyFrameDoesNotEscape	20851	52347
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	6	StructuredGraph	6: After phase NeverPartOfCompilation	20851	52347
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	7	StructuredGraph	7: After phase MaterializeFrames	20851	52347
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	8	StructuredGraph	8: After phase SetIdentityForValueTypes	20851	52347
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	9	StructuredGraph	9: After phase InliningAcrossTruffleBoundary	20851	52347
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	10	StructuredGraph	10: After phase TruffleTier	20851	52347
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	11	StructuredGraph	11: After TruffleTier	20851	52347
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	12	StructuredGraph	12: initial state	20851	52347
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	13	StructuredGraph	13: After phase Canonicalizer	20851	52347
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	14	StructuredGraph	14: Before phase HighTierLowering	20851	52347
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	15	StructuredGraph	15: After phase HighTierLowering	24396	57913
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	16	StructuredGraph	16: After phase EconomyHighTier	24396	57913
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	17	StructuredGraph	17: After high tier	24396	57913
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	18	StructuredGraph	18: After phase RemoveValueProxy	24307	57714
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	19	StructuredGraph	19: After phase TruffleSafepointInsertion	24391	57880
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	20	StructuredGraph	20: After phase LoopSafepointInsertion	24473	57962
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	21	StructuredGraph	21: After phase GuardLowering	28157	61646
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	22	StructuredGraph	22: After phase MidTierLowering	34965	74020
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	23	StructuredGraph	23: After phase FrameStateAssignment	34572	73260
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	24	StructuredGraph	24: After phase Canonicalizer	34568	73254
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	25	StructuredGraph	25: After phase WriteBarrierAddition	34767	73652
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	26	StructuredGraph	26: After phase EconomyMidTier	34767	73652
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	27	StructuredGraph	27: After mid tier	34767	73652
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	28	StructuredGraph	28: After phase LowTierLowering	86349	175227
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	29	StructuredGraph	29: After phase ExpandLogic	87264	176325
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	30	StructuredGraph	30: After phase UseTrappingNullChecks	84433	171471
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	31	StructuredGraph	31: After phase AddressLoweringByNode	84221	159856
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	32	StructuredGraph	32: After phase Schedule	81773	159856
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	33	StructuredGraph	33: After phase EconomyLowTier	81773	159856
graal_dumps/TruffleHotSpotCompilation-2155[ProtosRootNode@e2c03eb].bgv	34	StructuredGraph	34: After low tier	81773	159856
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	0	StructuredGraph	0: After PE Tier	888	2018
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	0	defaultType	0: After TruffleTier	2	1
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	0	defaultType	0: Before Inline	1	0
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	1	StructuredGraph	1: After phase AgnosticInlining	888	2018
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	1	defaultType	1: After Inline	1	0
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	2	StructuredGraph	2: After phase InstrumentationSuite	888	2018
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	3	StructuredGraph	3: performance warnings [372|MethodCallTarget, 386|MethodCallTarget, 535|MethodCallTarget, 549|MethodCallTarget, 575|MethodCallTarget, 592|MethodCallTarget, 775|MethodCallTarget, 811|MethodCallTarget, 822|MethodCallTarget, 840|MethodCallTarget, 855|MethodCallTarget, 918|MethodCallTarget, 931|MethodCallTarget, 957|MethodCallTarget, 970|MethodCallTarget, 1065|MethodCallTarget, 1085|MethodCallTarget, 1120|MethodCallTarget, 1133|MethodCallTarget, 1159|MethodCallTarget, 1235|MethodCallTarget, 1250|MethodCallTarget, 1530|MethodCallTarget, 1545|MethodCallTarget, 479|InstanceOf]	888	2018
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	4	StructuredGraph	4: After phase ReportPerformanceWarnings	888	2018
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	5	StructuredGraph	5: After phase VerifyFrameDoesNotEscape	888	2018
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	6	StructuredGraph	6: After phase NeverPartOfCompilation	888	2018
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	7	StructuredGraph	7: After phase MaterializeFrames	888	2018
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	8	StructuredGraph	8: After phase SetIdentityForValueTypes	888	2018
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	9	StructuredGraph	9: After phase InliningAcrossTruffleBoundary	888	2018
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	10	StructuredGraph	10: After phase TruffleTier	888	2018
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	11	StructuredGraph	11: After TruffleTier	888	2018
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	12	StructuredGraph	12: initial state	888	2018
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	13	StructuredGraph	13: After phase Canonicalizer	888	2018
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	14	StructuredGraph	14: Before phase HighTierLowering	888	2018
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	15	StructuredGraph	15: After phase HighTierLowering	1089	2327
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	16	StructuredGraph	16: After phase EconomyHighTier	1089	2327
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	17	StructuredGraph	17: After high tier	1089	2327
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	18	StructuredGraph	18: After phase RemoveValueProxy	1082	2310
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	19	StructuredGraph	19: After phase TruffleSafepointInsertion	1088	2320
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	20	StructuredGraph	20: After phase LoopSafepointInsertion	1092	2324
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	21	StructuredGraph	21: After phase GuardLowering	1302	2534
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	22	StructuredGraph	22: After phase MidTierLowering	1488	2830
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	23	StructuredGraph	23: After phase FrameStateAssignment	1489	2953
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	24	StructuredGraph	24: After phase Canonicalizer	708	1256
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	25	StructuredGraph	25: After phase WriteBarrierAddition	709	1258
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	26	StructuredGraph	26: After phase EconomyMidTier	709	1258
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	27	StructuredGraph	27: After mid tier	709	1258
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	28	StructuredGraph	28: After phase LowTierLowering	1380	2517
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	29	StructuredGraph	29: After phase ExpandLogic	1404	2545
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	30	StructuredGraph	30: After phase UseTrappingNullChecks	1353	2457
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	31	StructuredGraph	31: After phase AddressLoweringByNode	1325	2276
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	32	StructuredGraph	32: After phase Schedule	1275	2276
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	33	StructuredGraph	33: After phase EconomyLowTier	1275	2276
graal_dumps/TruffleHotSpotCompilation-2463[ProtosRootNode@441f7925].bgv	34	StructuredGraph	34: After low tier	1275	2276
graal_dumps/TruffleHotSpotCompilation-2473[ProtosRootNode@4051dbe5].bgv	0	StructuredGraph	0: After PE Tier	10711	26715
graal_dumps/TruffleHotSpotCompilation-2473[ProtosRootNode@4051dbe5].bgv	0	defaultType	0: After TruffleTier	11	10
graal_dumps/TruffleHotSpotCompilation-2473[ProtosRootNode@4051dbe5].bgv	0	defaultType	0: Before Inline	1	0
graal_dumps/TruffleHotSpotCompilation-2473[ProtosRootNode@4051dbe5].bgv	1	StructuredGraph	1: After phase AgnosticInlining	10711	26715
graal_dumps/TruffleHotSpotCompilation-2473[ProtosRootNode@4051dbe5].bgv	1	defaultType	1: After Inline	1	0
graal_dumps/TruffleHotSpotCompilation-2473[ProtosRootNode@4051dbe5].bgv	2	StructuredGraph	2: After phase InstrumentationSuite	10711	26715
