workload	language	phase	count	median_ns	mad_ns	p95_ns	min_ns	max_ns
micro/slot-read	protos	startup	10	4363770942.5	154764530.5	4629705221	4120445031	4629705221
micro/slot-read	protos	warmup	100	105004862.0	45596409.0	1470946888	43338118	3637477358
micro/slot-read	protos	steady	100	49378637.0	5873444.0	95566971	42591957	104016567
micro/slot-read	python	startup	10	13431328.5	349565.5	18141231	13049038	18141231
micro/slot-read	python	warmup	100	1582701.0	16650.0	1768451	1556261	2147922
micro/slot-read	python	steady	100	1580361.0	14875.5	1937791	1546871	2094331
micro/slot-read	javascript	startup	10	37673719.0	2715767.0	41563816	33268191	41563816
micro/slot-read	javascript	warmup	100	125355.0	39675.0	1234951	82490	1900052
micro/slot-read	javascript	steady	100	116250.0	28970.0	626600	58310	1257831
micro/slot-write	protos	startup	10	4306624497.0	41130862.0	5499448078	4167535088	5499448078
micro/slot-write	protos	warmup	100	104238443.0	50237034.5	1878193486	46777531	3482165558
micro/slot-write	protos	steady	100	54690694.0	7390226.5	86045156	46667652	104003354
micro/slot-write	python	startup	10	12903671.5	167990.5	13211101	12694251	13211101
micro/slot-write	python	warmup	100	1802516.0	13970.0	1945002	1772902	2026932
micro/slot-write	python	steady	100	1800901.0	12665.5	1873022	1773241	1936152
micro/slot-write	javascript	startup	10	36361017.0	2182581.5	40522835	33680030	40522835
micro/slot-write	javascript	warmup	100	100615.5	23460.5	1327871	76770	1554071
micro/slot-write	javascript	steady	100	80895.0	4159.5	532300	76230	942581
micro/closure-call	protos	startup	10	4494362986.0	64122986.0	5301975354	4403160497	5301975354
micro/closure-call	protos	warmup	100	99212790.0	39460237.5	1501586537	46531620	3719609159
micro/closure-call	protos	steady	100	67611903.0	15848889.5	104295218	46383410	141979610
micro/closure-call	python	startup	10	13251256.0	169405.5	14178652	12705011	14178652
micro/closure-call	python	warmup	100	1795506.5	53194.5	2000842	1674901	2665212
micro/closure-call	python	steady	100	1767596.5	47930.0	1934262	1645292	2191722
micro/closure-call	javascript	startup	10	34822634.5	1073336.5	36741161	32528787	36741161
micro/closure-call	javascript	warmup	100	105875.0	22619.5	1104621	83091	1329711
micro/closure-call	javascript	steady	100	87400.0	4170.0	328281	82590	1192321
micro/method-call	protos	startup	10	4756926639.0	107804530.0	5187753692	4551548318	5187753692
micro/method-call	protos	warmup	100	103191738.0	40846198.0	1509543821	48216940	4385951986
micro/method-call	protos	steady	100	55565935.5	7432102.0	90685374	47768709	101039422
micro/method-call	python	startup	10	13299585.5	78975.0	13719731	13033020	13719731
micro/method-call	python	warmup	100	1754906.5	13584.5	1962092	1715461	2202162
micro/method-call	python	steady	100	1754912.0	10325.5	1833462	1723972	2027772
