workload	operations	median_ns	mad_ns	min_ns	max_ns	ns_per_operation
micro/slot-read	100	19463501.0	214680.0	14415833	23952208	19463501.0
micro/slot-read	1000	10274466.0	857456.0	8300354	128489593	10274466.0
micro/slot-read	10000	44480264.0	4002811.0	40012502	105631175	44480264.0
micro/closure-call	100	23917557.0	985116.5	18599138	28146853	23917557.0
micro/closure-call	1000	12252074.0	1953473.5	7959742	137949762	12252074.0
micro/closure-call	10000	53476600.5	6335204.5	47063891	102771175	53476600.5
micro/method-call	100	24045916.0	220106.0	20650281	28623072	24045916.0
micro/method-call	1000	10786111.0	1042117.0	7827671	136984374	10786111.0
micro/method-call	10000	52455177.0	5281693.0	46950879	86866427	52455177.0
runtime/monomorphic-dispatch	100	27868060.5	2295888.0	23025723	37473765	27868060.5
runtime/monomorphic-dispatch	1000	13526184.5	1078372.0	10365815	167325270	13526184.5
runtime/monomorphic-dispatch	10000	59890815.0	10645116.0	47745807	112329419	59890815.0
