
 Version: 2.1
 Chunks: 1
 Start: 2026-09-13 16:12:00 (UTC)
 Duration: 76 s

 Event Type                                            Count  Size (bytes)
===========================================================================
 jdk.ObjectAllocationSample                            11546        187798
 jdk.GCPhaseParallel                                    8788        235349
 jdk.ExecutionSample                                    8292        101697
 jdk.JavaExceptionThrow                                 5427        102904
 jdk.PromoteObjectInNewPLAB                             2365         44103
 jdk.NativeMethodSample                                 1896         22106
 jdk.Checkpoint                                         1409       7434913
 jdk.JavaErrorThrow                                     1064         16373
 jdk.ThreadCPULoad                                      1033         17953
 jdk.ThreadStart                                        1022         14638
 jdk.ThreadEnd                                          1017         11512
 jdk.TenuringDistribution                                855          9445
 jdk.ModuleExport                                        810          9568
 jdk.BooleanFlag                                         504         15461
 jdk.ActiveSetting                                       400         10356
 jdk.graal.compiler.truffle.Compilation                  320         30479
 jdk.GCReferenceStatistics                               268          2868
 jdk.MetaspaceChunkFreeListSummary                       268          4964
 jdk.GCPhasePauseLevel1                                  261         10555
 jdk.JavaMonitorWait                                     243          6764
 jdk.Deoptimization                                      191          4708
 jdk.ModuleRequire                                       190          2090
 jdk.OldObjectSample                                     176          6492
 jdk.PromoteObjectOutsidePLAB                            162          2587
 jdk.LongFlag                                            142          4544
 jdk.G1HeapSummary                                       134          3604
 jdk.GCHeapSummary                                       134          5392
 jdk.GCPhasePauseLevel2                                  134          4507
 jdk.MetaspaceSummary                                    134          6894
 jdk.graal.compiler.truffle.CompilationFailure           134          5977
 jdk.ExecuteVMOperation                                  100          1751
 jdk.UnsignedLongFlag                                     93          3144
 jdk.FileRead                                             90          3601
 jdk.SafepointBegin                                       83          1184
 jdk.G1MMU                                                77          1044
 jdk.GCCPUTime                                            77          1268
 jdk.GCPhasePause                                         77          1893
 jdk.CPULoad                                              75          1467
 jdk.ClassLoadingStatistics                               75           792
 jdk.CompilerStatistics                                   75          2270
 jdk.ExceptionStatistics                                  75           788
 jdk.JavaThreadStatistics                                 75           928
 jdk.ResidentSetSize                                      75          1315
 jdk.graal.compiler.truffle.CompilerStatistics            75          1700
 jdk.GarbageCollection                                    67          1578
 jdk.GCPhaseConcurrent                                    60          2789
 jdk.EvacuationInformation                                57          1576
 jdk.G1AdaptiveIHOP                                       57          2321
 jdk.G1BasicIHOP                                          57          2263
 jdk.G1EvacuationOldStatistics                            57          1358
 jdk.G1EvacuationYoungStatistics                          57          1554
 jdk.G1GarbageCollection                                  57           767
 jdk.YoungGarbageCollection                               57           767
 jdk.ThreadPark                                           55          2074
 jdk.UnsignedIntFlag                                      50          1664
 jdk.InitialSecurityProperty                              45          2243
 jdk.IntFlag                                              44          1563
 jdk.GCPhaseConcurrentLevel1                              40          1521
 jdk.StringFlag                                           37          1190
 jdk.NativeLibrary                                        36          2204
 jdk.Compilation                                          34          1011
 jdk.DeprecatedInvocation                                 31           648
 jdk.CompilerQueueUtilization                             30           629
 jdk.ThreadAllocationStatistics                           26           269
 jdk.DoubleFlag                                           17           696
 jdk.DirectBufferStatistics                               15           249
 jdk.InitialSystemProperty                                15          1613
 jdk.InitialEnvironmentVariable                           10           386
 jdk.OldGarbageCollection                                 10           133
 jdk.ClassLoaderStatistics                                 7           193
 jdk.StringTableStatistics                                 7           256
 jdk.SymbolTableStatistics                                 7           270
 jdk.ThreadContextSwitchRate                               7            81
 jdk.CodeCacheStatistics                                   6           201
 jdk.GCHeapMemoryPoolUsage                                 6           228
 jdk.graal.compiler.truffle.Deoptimization                 6           547
 jdk.MetaspaceGCThreshold                                  5            82
 jdk.graal.compiler.truffle.AssumptionInvalidation         5           327
 jdk.Metadata                                              4        462162
 jdk.ContainerCPUThrottling                                2            23
 jdk.ContainerCPUUsage                                     2            51
 jdk.ContainerIOUsage                                      2            29
 jdk.ContainerMemoryUsage                                  2            39
 jdk.GCConfiguration                                       2            51
 jdk.GCHeapMemoryUsage                                     2            44
 jdk.JavaMonitorStatistics                                 2            17
 jdk.NativeLibraryLoad                                     2           233
 jdk.PhysicalMemory                                        2            35
 jdk.SwapSpace                                             2            35
