workload	variant	mode	steady_median_ns	steady_mad_ns	steady_p95_ns	steady_min_ns	steady_max_ns	any_semantic_marker_present	helper_continue_at_present
micro/slot-read	baseline	canonical	48557167.0	1469142.5	89157526	46365910	95057175	True	True
micro/slot-read	baseline	control	44735935.5	1062641.0	80690713	43287900	87829114	True	True
micro/slot-read	ablation	canonical	47094106.0	968708.0	79844756	45638516	89283833	False	True
micro/slot-read	ablation	control	44918434.5	1140950.5	80403425	43107502	87339919	False	True
micro/closure-call	baseline	canonical	58985733.0	3670811.5	99898953	54304680	105475897	True	True
micro/closure-call	baseline	control	46471314.5	2010617.0	83510248	43651127	103082826	True	True
micro/closure-call	ablation	canonical	55436564.0	1804346.5	92914784	52740138	108480251	False	True
micro/closure-call	ablation	control	47908474.0	2995073.5	83840510	43832412	96567154	False	True
micro/method-call	baseline	canonical	58744288.0	2976151.0	99614408	54826008	126832926	True	True
micro/method-call	baseline	control	46149398.0	1623806.5	82519915	44038398	90283402	True	True
micro/method-call	ablation	canonical	56920628.5	3008798.0	91350626	53275761	97339677	False	True
micro/method-call	ablation	control	44121383.0	1512293.5	80622065	42199533	89108721	False	True
runtime/monomorphic-dispatch	baseline	canonical	56311081.5	2003005.0	94599796	53092792	104983885	True	True
runtime/monomorphic-dispatch	baseline	control	45017842.5	1096674.5	82913763	43346428	91697409	True	True
runtime/monomorphic-dispatch	ablation	canonical	53793518.0	2076096.5	88040554	51121581	103866023	False	True
runtime/monomorphic-dispatch	ablation	control	44040475.0	1068582.0	77277482	42579845	83405480	False	True
