workload	variant	mode	steady_median_ns	steady_mad_ns	steady_p95_ns	steady_min_ns	steady_max_ns	any_semantic_marker_present	helper_continue_at_present	execution_failure_stage
micro/slot-read	baseline	canonical	47121852.5	1397670.5	85473707	45110316	94436883	False	True	
micro/slot-read	baseline	control	44778424.0	934564.0	81421036	43496908	93668401	False	True	
micro/slot-read	ablation	canonical	44623479.5	1020511.5	87110425	43177810	93439343	False	True	
micro/slot-read	ablation	control	44217146.5	1364962.0	79033698	42145722	89310457	False	True	
micro/closure-call	baseline	canonical	56038634.0	1491121.0	91416825	53921177	101341529	False	True	
micro/closure-call	baseline	control	45046642.0	1261524.0	81614771	43064011	90985554	False	True	
micro/closure-call	ablation	canonical	60252002.0	2792258.0	98803456	56445022	113076101	False	True	
micro/closure-call	ablation	control	43436923.0	1302257.5	79919358	41757569	93547507	False	True	
micro/method-call	baseline	canonical	60865152.5	2760476.0	96189109	57557418	113682477	False	True	
micro/method-call	baseline	control	44846852.0	1418321.5	81750244	42738310	96587914	False	True	
micro/method-call	ablation	canonical	57166836.5	1735456.0	95622302	54997901	98236092	False	True	
micro/method-call	ablation	control	44193465.5	1336961.5	79475588	42035049	93698567	False	True	
runtime/monomorphic-dispatch	baseline	canonical	54491520.0	1646355.5	90879377	51749689	102805452	False	True	
runtime/monomorphic-dispatch	baseline	control	45487489.0	1222495.5	80947869	43567537	92858908	False	True	
runtime/monomorphic-dispatch	ablation	canonical	52069492.5	2136426.5	89070983	49148964	100246279	False	True	
runtime/monomorphic-dispatch	ablation	control	45726389.5	1776736.5	82492013	43168311	97642319	False	True	
