workload	variant	mode	steady_median_ns	steady_mad_ns	steady_p95_ns	steady_min_ns	steady_max_ns	any_semantic_marker_present	helper_continue_at_present	execution_failure_stage
micro/slot-read	baseline	canonical	46977712.0	766629.5	90668440	45496430	94415290	False	True	
micro/slot-read	baseline	control	45016480.5	841134.0	82910848	43813173	119479728	False	True	
micro/slot-read	ablation	canonical	45813333.5	1217672.5	89252625	44097355	95913364	False	True	
micro/slot-read	ablation	control	46412975.5	1858721.5	82833361	43488996	99370189	False	True	
micro/closure-call	baseline	canonical	55228029.0	1837283.0	92020384	53022381	99702522	False	True	
micro/closure-call	baseline	control	44938465.5	1161367.5	80059776	43318990	87187331	False	True	
micro/closure-call	ablation	canonical	54478523.5	1670283.5	89042263	52492295	96653014	False	True	
micro/closure-call	ablation	control	44251948.0	1447791.0	79386516	42283144	90616913	False	True	
micro/method-call	baseline	canonical	54948155.0	1233666.0	90031244	53244438	106594333	False	True	
micro/method-call	baseline	control	44785226.5	1376268.5	80470952	42611682	88429478	False	True	
micro/method-call	ablation	canonical	53993482.5	1464320.5	91243925	52079253	97400857	False	True	
micro/method-call	ablation	control	44170033.5	1153994.0	79698041	42659392	89030038	False	True	
runtime/monomorphic-dispatch	baseline	canonical	55123283.0	1100086.0	92686366	53123176	97381182	False	True	
runtime/monomorphic-dispatch	baseline	control	44667165.0	1591671.5	81067899	42441533	96263793	False	True	
runtime/monomorphic-dispatch	ablation	canonical	55378281.5	2073705.0	90531174	52996184	94140183	False	True	
runtime/monomorphic-dispatch	ablation	control	43724022.5	825624.5	77642260	42317080	90655415	False	True	
