block_index	block_order	workload	role	mode	steady_median_ns	first_quarter_median_ns	last_quarter_median_ns	last_quarter_vs_first_quarter_percent
0	A	micro/slot-read	control	canonical	48244827.5	49388818	48136357	-2.5359
0	A	micro/slot-read	control	control	49450128.0	47343656	52860462	11.6527
0	A	micro/slot-read	intervention	canonical	47098504.0	95403701	48236686	-49.4394
0	A	micro/slot-read	intervention	control	46639639.0	45668083	46505314	1.8333
0	A	micro/closure-call	control	canonical	57197025.0	65668325	57269295	-12.7901
0	A	micro/closure-call	control	control	47220378.5	48935356	46596202	-4.7801
0	A	micro/closure-call	intervention	canonical	57219859.0	57506275	55087191	-4.2066
0	A	micro/closure-call	intervention	control	49293599.5	48431394	49858595	2.9469
0	A	micro/method-call	control	canonical	53471239.0	52045837	53534579	2.8604
0	A	micro/method-call	control	control	50502915.0	54608109	50056374	-8.3353
0	A	micro/method-call	intervention	canonical	53803928.5	53130377	53302828	0.3246
0	A	micro/method-call	intervention	control	46846190.5	47158720	45262178	-4.0216
0	A	runtime/monomorphic-dispatch	control	canonical	52192396.0	53505797	53342337	-0.3055
0	A	runtime/monomorphic-dispatch	control	control	47378615.0	47352460	46460349	-1.8840
0	A	runtime/monomorphic-dispatch	intervention	canonical	51290833.5	55581059	51372054	-7.5727
0	A	runtime/monomorphic-dispatch	intervention	control	45041151.5	45218537	45003156	-0.4763
1	B	micro/slot-read	intervention	canonical	57579970.0	62505445	57483210	-8.0349
1	B	micro/slot-read	intervention	control	46461528.0	46371028	44924947	-3.1185
1	B	micro/slot-read	control	canonical	47325288.5	58898110	46683408	-20.7387
1	B	micro/slot-read	control	control	45637026.0	45850377	45566186	-0.6198
1	B	micro/closure-call	intervention	canonical	60383631.0	63332795	58357379	-7.8560
1	B	micro/closure-call	intervention	control	47151742.5	47193418	45350306	-3.9054
1	B	micro/closure-call	control	canonical	59187529.0	64576765	61957362	-4.0563
1	B	micro/closure-call	control	control	47054757.0	46962327	48633489	3.5585
1	B	micro/method-call	intervention	canonical	51268846.0	53208953	50904650	-4.3307
1	B	micro/method-call	intervention	control	46465510.5	47244866	43851483	-7.1825
1	B	micro/method-call	control	canonical	53472942.5	54455524	55636605	2.1689
1	B	micro/method-call	control	control	50831588.5	50828641	50116209	-1.4016
1	B	runtime/monomorphic-dispatch	intervention	canonical	51309753.0	57572816	51668952	-10.2546
1	B	runtime/monomorphic-dispatch	intervention	control	46163911.0	44603957	46515850	4.2864
1	B	runtime/monomorphic-dispatch	control	canonical	51079246.5	50992451	51166042	0.3404
1	B	runtime/monomorphic-dispatch	control	control	46107652.0	45288519	46099898	1.7916
2	A	micro/slot-read	control	canonical	53654893.5	46938190	64967750	38.4113
2	A	micro/slot-read	control	control	49928132.5	49987937	48210025	-3.5567
2	A	micro/slot-read	intervention	canonical	72598490.5	90600559	54596422	-39.7394
2	A	micro/slot-read	intervention	control	47959179.5	46362713	47200922	1.8079
2	A	micro/closure-call	control	canonical	58939826.5	58327727	59375655	1.7966
2	A	micro/closure-call	control	control	48096231.0	48539020	47773923	-1.5763
2	A	micro/closure-call	intervention	canonical	58539626.5	59780648	56378528	-5.6910
2	A	micro/closure-call	intervention	control	45824064.0	44141192	46539307	5.4328
2	A	micro/method-call	control	canonical	53171067.5	54276294	55016254	1.3633
2	A	micro/method-call	control	control	47151116.0	49646581	46219419	-6.9031
2	A	micro/method-call	intervention	canonical	51399423.0	51887182	52310341	0.8155
2	A	micro/method-call	intervention	control	46420797.0	45402529	45871349	1.0326
2	A	runtime/monomorphic-dispatch	control	canonical	52415345.5	50018905	50433024	0.8279
2	A	runtime/monomorphic-dispatch	control	control	47311794.0	47316244	45908367	-2.9755
2	A	runtime/monomorphic-dispatch	intervention	canonical	50734373.0	49290885	50875623	3.2151
2	A	runtime/monomorphic-dispatch	intervention	control	48901605.0	47534522	47696303	0.3403
3	B	micro/slot-read	intervention	canonical	55688984.0	63657781	49126434	-22.8273
3	B	micro/slot-read	intervention	control	49220406.5	49316666	49612227	0.5993
3	B	micro/slot-read	control	canonical	47600108.0	49155180	47947653	-2.4566
3	B	micro/slot-read	control	control	47376541.5	45866328	44541911	-2.8876
3	B	micro/closure-call	intervention	canonical	58483061.5	59185605	57409638	-3.0007
3	B	micro/closure-call	intervention	control	50308705.5	49203131	50168211	1.9614
3	B	micro/closure-call	control	canonical	61087885.5	68862902	65235037	-5.2682
3	B	micro/closure-call	control	control	45724536.0	45173591	45387201	0.4729
3	B	micro/method-call	intervention	canonical	52651441.5	53807475	52872927	-1.7368
3	B	micro/method-call	intervention	control	46406426.0	46220486	47187065	2.0912
3	B	micro/method-call	control	canonical	53030997.0	51282113	54139582	5.5721
3	B	micro/method-call	control	control	49725408.0	47333589	49133459	3.8025
3	B	runtime/monomorphic-dispatch	intervention	canonical	51951813.5	50873509	53532847	5.2274
3	B	runtime/monomorphic-dispatch	intervention	control	45871100.0	49369543	45451416	-7.9363
3	B	runtime/monomorphic-dispatch	control	canonical	51246468.0	49639745	51130763	3.0037
3	B	runtime/monomorphic-dispatch	control	control	46914338.0	46578298	47250378	1.4429
