block_index	block_order	workload	baseline_canonical_median_ns	baseline_control_median_ns	noop_canonical_median_ns	noop_control_median_ns	canonical_difference_ns	control_difference_ns	paired_control_difference_ns	paired_control_difference_percent
0	A	micro/slot-read	49261021.5	50711282.5	50481286.5	45956511.5	-1220265.0	4754771.0	-5975036.0	-12.1293
0	A	micro/closure-call	65976756.0	47488017.0	64605853.0	47689341.5	1370903.0	-201324.5	1572227.5	2.3830
0	A	micro/method-call	59712392.5	47446880.5	62038158.5	45404457.5	-2325766.0	2042423.0	-4368189.0	-7.3154
0	A	runtime/monomorphic-dispatch	60352961.0	48876575.0	56165482.0	45284296.0	4187479.0	3592279.0	595200.0	0.9862
1	B	micro/slot-read	49138888.5	67820349.5	47822763.0	47386777.5	1316125.5	20433572.0	-19117446.5	-38.9049
1	B	micro/closure-call	56190788.5	45452918.5	78791079.0	48479987.0	-22600290.5	-3027068.5	-19573222.0	-34.8335
1	B	micro/method-call	65052365.0	44957132.5	69216773.5	47033969.0	-4164408.5	-2076836.5	-2087572.0	-3.2091
1	B	runtime/monomorphic-dispatch	58789618.0	45552657.5	59137809.0	46535448.5	-348191.0	-982791.0	634600.0	1.0794
2	A	micro/slot-read	46258982.5	45647422.0	46614882.5	45625712.0	-355900.0	21710.0	-377610.0	-0.8163
2	A	micro/closure-call	64753086.5	46739542.0	59874732.5	47171322.5	4878354.0	-431780.5	5310134.5	8.2006
2	A	micro/method-call	59965157.5	49521299.0	65714481.5	48777233.0	-5749324.0	744066.0	-6493390.0	-10.8286
2	A	runtime/monomorphic-dispatch	56400113.0	46356691.5	54702887.0	45838260.0	1697226.0	518431.5	1178794.5	2.0901
3	B	micro/slot-read	53196401.0	47266361.0	46827091.0	47170651.0	6369310.0	95710.0	6273600.0	11.7933
3	B	micro/closure-call	58378909.0	45744859.0	68770982.5	47340225.5	-10392073.5	-1595366.5	-8796707.0	-15.0683
3	B	micro/method-call	55830756.5	46247789.0	58996214.0	47604955.5	-3165457.5	-1357166.5	-1808291.0	-3.2389
3	B	runtime/monomorphic-dispatch	59611134.0	49893441.5	55199000.5	46197769.0	4412133.5	3695672.5	716461.0	1.2019
