workload	variant	mode	steady_median_ns	steady_mad_ns	steady_p95_ns	steady_min_ns	steady_max_ns	any_semantic_marker_present	helper_continue_at_present	execution_failure_stage
micro/slot-read	baseline	canonical	51800017.0	3610179.0	97586267	45700995	103699864	False	False	
micro/slot-read	baseline	control	51833072.5	6307327.5	90344009	43555712	123584529	False	False	
micro/slot-read	ablation	canonical	50674566.5	3753435.0	94869484	46158336	101836903	False	False	
micro/slot-read	ablation	control	48177008.5	3923279.5	85678544	43290463	92313452	False	False	
micro/closure-call	baseline	canonical	66624690.5	11687194.0	93325793	54308036	101468684	False	False	
micro/closure-call	baseline	control	43469763.0	1594392.0	84398893	41847691	88146818	False	False	
micro/closure-call	ablation	canonical	65610295.0	10977553.5	94884615	53998586	98517760	False	False	
micro/closure-call	ablation	control	46815500.0	2809622.0	84391684	43840821	93045716	False	False	
micro/method-call	baseline	canonical	54676845.0	4481633.5	87450529	50031656	90929119	False	False	
micro/method-call	baseline	control	44318354.0	1858801.5	83795712	42304758	93292854	False	False	
micro/method-call	ablation	canonical	59768788.0	6796876.0	92502057	52885470	96104237	False	False	
micro/method-call	ablation	control	45181826.0	2598835.0	85849948	42472291	87674274	False	False	
runtime/monomorphic-dispatch	baseline	canonical	53004841.0	4164586.5	84928018	48642473	88489760	False	False	
runtime/monomorphic-dispatch	baseline	control	45076218.0	1750651.5	84365594	43323576	89174120	False	False	
runtime/monomorphic-dispatch	ablation	canonical	57091641.0	4670380.0	89639780	51739254	95169639	False	False	
runtime/monomorphic-dispatch	ablation	control	44309174.0	1296845.0	84563278	43009104	89647336	False	False	
