block_index	block_order	workload	role	mode	steady_median_ns	first_quarter_median_ns	last_quarter_median_ns	last_quarter_vs_first_quarter_percent
0	A	micro/slot-read	control	canonical	46244584.5	45098937	46464450	3.0278
0	A	micro/slot-read	control	control	44891434.0	44289033	51533360	16.3569
0	A	micro/slot-read	intervention	canonical	45761280.0	50063185	45349684	-9.4151
0	A	micro/slot-read	intervention	control	44525246.0	44868282	43578289	-2.8751
0	A	micro/closure-call	control	canonical	58043815.5	60275795	58005260	-3.7669
0	A	micro/closure-call	control	control	46284837.5	45797732	49724510	8.5742
0	A	micro/closure-call	intervention	canonical	57501351.0	56985035	56932684	-0.0919
0	A	micro/closure-call	intervention	control	46636996.0	45120268	45174988	0.1213
0	A	micro/method-call	control	canonical	55923155.0	63590057	55148188	-13.2755
0	A	micro/method-call	control	control	45315801.5	46596889	45206736	-2.9834
0	A	micro/method-call	intervention	canonical	52296364.5	53368263	52468150	-1.6866
0	A	micro/method-call	intervention	control	45117724.5	48507811	44586833	-8.0832
0	A	runtime/monomorphic-dispatch	control	canonical	55488779.0	59921584	54846524	-8.4695
0	A	runtime/monomorphic-dispatch	control	control	43907335.0	43629300	43190069	-1.0067
0	A	runtime/monomorphic-dispatch	intervention	canonical	51631339.0	51503054	50216151	-2.4987
0	A	runtime/monomorphic-dispatch	intervention	control	45289671.0	46945774	44653320	-4.8832
1	B	micro/slot-read	intervention	canonical	46415166.5	46099641	48008425	4.1406
1	B	micro/slot-read	intervention	control	45632914.0	44897438	49012756	9.1660
1	B	micro/slot-read	control	canonical	46038374.5	45729198	52821952	15.5103
1	B	micro/slot-read	control	control	46118439.5	45907769	44568806	-2.9166
1	B	micro/closure-call	intervention	canonical	66674843.0	72499749	66077157	-8.8588
1	B	micro/closure-call	intervention	control	45286126.5	45184176	44532655	-1.4419
1	B	micro/closure-call	control	canonical	65840214.5	66015525	68967051	4.4710
1	B	micro/closure-call	control	control	44562399.0	44823355	44504844	-0.7106
1	B	micro/method-call	intervention	canonical	52127782.5	51120486	54378342	6.3729
1	B	micro/method-call	intervention	control	44989744.0	44635673	44924634	0.6474
1	B	micro/method-call	control	canonical	55770463.0	54670892	54077470	-1.0854
1	B	micro/method-call	control	control	45862429.5	49506722	45687854	-7.7138
1	B	runtime/monomorphic-dispatch	intervention	canonical	50101711.5	49519541	49044820	-0.9587
1	B	runtime/monomorphic-dispatch	intervention	control	44919182.0	44731581	45013082	0.6293
1	B	runtime/monomorphic-dispatch	control	canonical	56563128.0	57612215	56030292	-2.7458
1	B	runtime/monomorphic-dispatch	control	control	45767193.0	45702103	44937771	-1.6724
2	A	micro/slot-read	control	canonical	46418948.5	45961143	46076323	0.2506
2	A	micro/slot-read	control	control	44944061.0	50223237	44867877	-10.6631
2	A	micro/slot-read	intervention	canonical	46516656.5	45877140	45731154	-0.3182
2	A	micro/slot-read	intervention	control	48450217.5	48688794	46110774	-5.2949
2	A	micro/closure-call	control	canonical	66857997.5	66121662	68742501	3.9637
2	A	micro/closure-call	control	control	44684217.0	43832951	44558559	1.6554
2	A	micro/closure-call	intervention	canonical	67386118.0	66776174	69018917	3.3586
2	A	micro/closure-call	intervention	control	48195606.5	48218551	48172662	-0.0952
2	A	micro/method-call	control	canonical	67910735.5	66129460	58874041	-10.9715
2	A	micro/method-call	control	control	47400428.5	47535167	46523993	-2.1272
2	A	micro/method-call	intervention	canonical	51648900.0	51730478	51567322	-0.3154
2	A	micro/method-call	intervention	control	45967265.0	47846296	45092220	-5.7561
2	A	runtime/monomorphic-dispatch	control	canonical	55867868.5	57571674	55171096	-4.1697
2	A	runtime/monomorphic-dispatch	control	control	45765578.5	45063476	45763604	1.5536
2	A	runtime/monomorphic-dispatch	intervention	canonical	50153670.0	50218784	50012766	-0.4102
2	A	runtime/monomorphic-dispatch	intervention	control	47044440.0	45270170	48110362	6.2739
3	B	micro/slot-read	intervention	canonical	48084719.0	47665769	51615137	8.2855
3	B	micro/slot-read	intervention	control	45168200.0	45302644	45678124	0.8288
3	B	micro/slot-read	control	canonical	46122003.5	65816312	47734974	-27.4724
3	B	micro/slot-read	control	control	44837544.5	45118787	44872160	-0.5466
3	B	micro/closure-call	intervention	canonical	58019870.5	65453672	59275553	-9.4389
3	B	micro/closure-call	intervention	control	46440326.5	45661058	46694126	2.2625
3	B	micro/closure-call	control	canonical	55553362.5	62266808	57826612	-7.1309
3	B	micro/closure-call	control	control	46025849.5	46161498	46159229	-0.0049
3	B	micro/method-call	intervention	canonical	51785445.0	52372188	54234304	3.5555
3	B	micro/method-call	intervention	control	46114654.5	47664114	45651011	-4.2235
3	B	micro/method-call	control	canonical	55973237.0	63581123	55951862	-11.9993
3	B	micro/method-call	control	control	44762352.0	48795353	43522395	-10.8063
3	B	runtime/monomorphic-dispatch	intervention	canonical	49376381.5	49776265	48976498	-1.6067
3	B	runtime/monomorphic-dispatch	intervention	control	48636753.0	48469393	48804113	0.6906
3	B	runtime/monomorphic-dispatch	control	canonical	56960632.5	59390726	60271365	1.4828
3	B	runtime/monomorphic-dispatch	control	control	43950060.0	43557020	42988482	-1.3053
