block_index	block_order	workload	role	mode	steady_median_ns	first_quarter_median_ns	last_quarter_median_ns	last_quarter_vs_first_quarter_percent
0	A	micro/slot-read	control	canonical	57233106.5	59752624	55084629	-7.8122
0	A	micro/slot-read	control	control	55419720.0	55402290	54205749	-2.1597
0	A	micro/slot-read	intervention	canonical	63875623.0	60042834	83288255	38.7147
0	A	micro/slot-read	intervention	control	80127642.0	80216072	80246892	0.0384
0	A	micro/closure-call	control	canonical	84207581.0	84175926	84239236	0.0752
0	A	micro/closure-call	control	control	54546724.5	55500660	52384117	-5.6153
0	A	micro/closure-call	intervention	canonical	92333168.5	91029483	93875995	3.1270
0	A	micro/closure-call	intervention	control	61485265.5	61585486	61385045	-0.3255
0	A	micro/method-call	control	canonical	87668144.5	85064197	88080250	3.5456
0	A	micro/method-call	control	control	53657003.5	55922710	56894162	1.7371
0	A	micro/method-call	intervention	canonical	97890133.0	97656148	97812238	0.1598
0	A	micro/method-call	intervention	control	64871199.0	65842020	61467476	-6.6440
0	A	runtime/monomorphic-dispatch	control	canonical	83048905.5	82678695	84793397	2.5577
0	A	runtime/monomorphic-dispatch	control	control	53823403.5	54039769	53639909	-0.7399
0	A	runtime/monomorphic-dispatch	intervention	canonical	92960919.0	91580033	99117270	8.2302
0	A	runtime/monomorphic-dispatch	intervention	control	64334008.0	64667098	64000918	-1.0302
1	B	micro/slot-read	intervention	canonical	65673039.5	64058698	66827180	4.3218
1	B	micro/slot-read	intervention	control	66703430.0	67775181	71213355	5.0729
1	B	micro/slot-read	control	canonical	58460433.0	60412485	56138321	-7.0750
1	B	micro/slot-read	control	control	55943391.0	56733602	54397410	-4.1178
1	B	micro/closure-call	intervention	canonical	93896500.5	91111933	93395175	2.5060
1	B	micro/closure-call	intervention	control	65263867.5	63839171	66982835	4.9243
1	B	micro/closure-call	control	canonical	84969038.5	84019158	83574906	-0.5288
1	B	micro/closure-call	control	control	55904797.0	56744558	53287264	-6.0927
1	B	micro/method-call	intervention	canonical	98219173.5	98914465	98534394	-0.3842
1	B	micro/method-call	intervention	control	64638236.5	65072287	74223960	14.0639
1	B	micro/method-call	control	canonical	86298964.0	83612630	87089785	4.1586
1	B	micro/method-call	control	control	53869805.5	53224230	58152165	9.2588
1	B	runtime/monomorphic-dispatch	intervention	canonical	95630363.0	99116367	95625643	-3.5218
1	B	runtime/monomorphic-dispatch	intervention	control	64369131.5	63989711	61629718	-3.6881
1	B	runtime/monomorphic-dispatch	control	canonical	84698191.0	84586356	89884432	6.2635
1	B	runtime/monomorphic-dispatch	control	control	59081107.5	55780880	54611438	-2.0965
2	A	micro/slot-read	control	canonical	60329639.0	59964994	63375858	5.6881
2	A	micro/slot-read	control	control	53906230.5	55515308	52688544	-5.0919
2	A	micro/slot-read	intervention	canonical	63962897.0	60426173	72607878	20.1597
2	A	micro/slot-read	intervention	control	64258367.0	62935335	66347540	5.4218
2	A	micro/closure-call	control	canonical	87850219.0	85079821	93082460	9.4060
2	A	micro/closure-call	control	control	57125821.5	56334736	55641305	-1.2309
2	A	micro/closure-call	intervention	canonical	95118590.5	91725897	95091350	3.6690
2	A	micro/closure-call	intervention	control	61120631.0	60791950	60796530	0.0075
2	A	micro/method-call	control	canonical	85058387.5	83021385	85517338	3.0064
2	A	micro/method-call	control	control	54878592.5	53466751	58038716	8.5510
2	A	micro/method-call	intervention	canonical	97813525.0	98914421	95811428	-3.1370
2	A	micro/method-call	intervention	control	63967467.0	64194682	63740252	-0.7079
2	A	runtime/monomorphic-dispatch	control	canonical	82492556.5	84939404	85292055	0.4152
2	A	runtime/monomorphic-dispatch	control	control	54489025.0	53246359	57409533	7.8187
2	A	runtime/monomorphic-dispatch	intervention	canonical	97069116.5	101184951	96978446	-4.1572
2	A	runtime/monomorphic-dispatch	intervention	control	66429342.5	67607424	65777881	-2.7061
3	B	micro/slot-read	intervention	canonical	65231771.0	62078847	84309772	35.8108
3	B	micro/slot-read	intervention	control	64297939.0	66158761	63124098	-4.5869
3	B	micro/slot-read	control	canonical	56982731.0	58019213	55557070	-4.2437
3	B	micro/slot-read	control	control	56213705.0	56161130	54079188	-3.7071
3	B	micro/closure-call	intervention	canonical	94831330.5	92757329	95295791	2.7367
3	B	micro/closure-call	intervention	control	62862886.5	62890017	62790526	-0.1582
3	B	micro/closure-call	control	canonical	86320776.0	86750231	83813379	-3.3854
3	B	micro/closure-call	control	control	54819357.5	56082119	53799806	-4.0696
3	B	micro/method-call	intervention	canonical	98375423.5	95832511	98093053	2.3588
3	B	micro/method-call	intervention	control	65402363.0	66691010	63288746	-5.1015
3	B	micro/method-call	control	canonical	85899634.0	81377175	87304750	7.2841
3	B	micro/method-call	control	control	55885913.0	54989617	59370562	7.9669
3	B	runtime/monomorphic-dispatch	intervention	canonical	95150438.5	92507646	96414660	4.2234
3	B	runtime/monomorphic-dispatch	intervention	control	66198618.0	66914939	63188145	-5.5694
3	B	runtime/monomorphic-dispatch	control	canonical	82087344.5	81738114	85555098	4.6698
3	B	runtime/monomorphic-dispatch	control	control	57817334.0	57323428	58509800	2.0696
