block_index	block_order	workload	variant	mode	steady_median_ns	first_quarter_median_ns	last_quarter_median_ns	last_quarter_vs_first_quarter_percent
0	A	micro/slot-read	baseline	canonical	46572341.5	46036192	45979892	-0.1223
0	A	micro/slot-read	baseline	control	45098038.0	43959154	43989904	0.0700
0	A	micro/slot-read	ablation	canonical	45604094.0	48730523	45393994	-6.8469
0	A	micro/slot-read	ablation	control	44718285.0	44630785	44761735	0.2934
0	A	micro/closure-call	baseline	canonical	65867020.0	65434210	68479179	4.6535
0	A	micro/closure-call	baseline	control	44039142.0	44559487	43912217	-1.4526
0	A	micro/closure-call	ablation	canonical	57174419.5	57082864	58750014	2.9206
0	A	micro/closure-call	ablation	control	43926689.0	43887229	43981288	0.2143
0	A	micro/method-call	baseline	canonical	55785176.0	53835397	56274297	4.5303
0	A	micro/method-call	baseline	control	45570980.0	44261870	46880090	5.9153
0	A	micro/method-call	ablation	canonical	55709643.5	53691119	56337258	4.9284
0	A	micro/method-call	ablation	control	44967596.5	44888022	48736921	8.5744
0	A	runtime/monomorphic-dispatch	baseline	canonical	55593765.5	54943500	56174431	2.2404
0	A	runtime/monomorphic-dispatch	baseline	control	45938927.0	49891611	46718442	-6.3601
0	A	runtime/monomorphic-dispatch	ablation	canonical	56843006.0	56665801	57532501	1.5295
0	A	runtime/monomorphic-dispatch	ablation	control	45300719.0	45476474	44886874	-1.2965
1	B	micro/slot-read	ablation	canonical	45614179.0	52023223	45306814	-12.9104
1	B	micro/slot-read	ablation	control	46088585.0	47151604	45242365	-4.0491
1	B	micro/slot-read	baseline	canonical	46710945.0	46198816	49520045	7.1890
1	B	micro/slot-read	baseline	control	55610550.0	57145065	54351826	-4.8880
1	B	micro/closure-call	ablation	canonical	58168465.0	58006715	59039596	1.7806
1	B	micro/closure-call	ablation	control	46798781.5	46862807	48431876	3.3482
1	B	micro/closure-call	baseline	canonical	65804046.0	65621736	69171286	5.4091
1	B	micro/closure-call	baseline	control	45398327.5	45752227	44494198	-2.7497
1	B	micro/method-call	ablation	canonical	55925293.0	54001888	54468008	0.8632
1	B	micro/method-call	ablation	control	45492288.0	45351098	45385668	0.0762
1	B	micro/method-call	baseline	canonical	60371593.5	63388678	56596188	-10.7156
1	B	micro/method-call	baseline	control	46562904.0	45684389	46496609	1.7779
1	B	runtime/monomorphic-dispatch	ablation	canonical	55743669.5	58694110	53204010	-9.3537
1	B	runtime/monomorphic-dispatch	ablation	control	46595600.0	47984250	45743270	-4.6702
1	B	runtime/monomorphic-dispatch	baseline	canonical	67265500.0	63578710	70831770	11.4080
1	B	runtime/monomorphic-dispatch	baseline	control	45769195.5	46990900	44443510	-5.4210
2	A	micro/slot-read	baseline	canonical	48462731.0	46911161	49452831	5.4180
2	A	micro/slot-read	baseline	control	48952336.0	52005631	47089661	-9.4528
2	A	micro/slot-read	ablation	canonical	49951591.5	45307371	63235522	39.5701
2	A	micro/slot-read	ablation	control	46877351.5	47432321	44942551	-5.2491
2	A	micro/closure-call	baseline	canonical	65073277.5	64827783	66662802	2.8306
2	A	micro/closure-call	baseline	control	44019826.5	43947961	44091692	0.3270
2	A	micro/closure-call	ablation	canonical	66856473.5	67083493	69647103	3.8215
2	A	micro/closure-call	ablation	control	43786992.5	43678613	43907703	0.5245
2	A	micro/method-call	baseline	canonical	56363568.0	55233353	56607994	2.4888
2	A	micro/method-call	baseline	control	47282473.0	46692933	44429853	-4.8467
2	A	micro/method-call	ablation	canonical	65672629.5	70195215	58520484	-16.6318
2	A	micro/method-call	ablation	control	44875768.5	46244183	45028263	-2.6293
2	A	runtime/monomorphic-dispatch	baseline	canonical	55230289.0	58168434	56890124	-2.1976
2	A	runtime/monomorphic-dispatch	baseline	control	46418148.0	46395573	46440723	0.0973
2	A	runtime/monomorphic-dispatch	ablation	canonical	59200710.0	58326104	59975235	2.8274
2	A	runtime/monomorphic-dispatch	ablation	control	44717823.5	46200724	44570943	-3.5276
3	B	micro/slot-read	ablation	canonical	45638619.0	47184814	46206535	-2.0733
3	B	micro/slot-read	ablation	control	44694118.5	45612534	44044974	-3.4367
3	B	micro/slot-read	baseline	canonical	47522029.5	50433545	46691324	-7.4201
3	B	micro/slot-read	baseline	control	46540364.0	48661465	43853104	-9.8812
3	B	micro/closure-call	ablation	canonical	66757571.5	65955466	67370206	2.1450
3	B	micro/closure-call	ablation	control	44160069.5	43742975	50280485	14.9453
3	B	micro/closure-call	baseline	canonical	55975091.0	62599917	57080446	-8.8171
3	B	micro/closure-call	baseline	control	45695030.0	45594595	46865535	2.7875
3	B	micro/method-call	ablation	canonical	58193831.0	67441018	58645727	-13.0415
3	B	micro/method-call	ablation	control	44633535.0	44449445	45008745	1.2583
3	B	micro/method-call	baseline	canonical	66552618.0	66674738	65087767	-2.3802
3	B	micro/method-call	baseline	control	44568070.0	43881055	47214816	7.5973
3	B	runtime/monomorphic-dispatch	ablation	canonical	62763697.5	58050186	71861399	23.7918
3	B	runtime/monomorphic-dispatch	ablation	control	45070940.5	45882926	44387456	-3.2593
3	B	runtime/monomorphic-dispatch	baseline	canonical	68010883.5	70070638	67300468	-3.9534
3	B	runtime/monomorphic-dispatch	baseline	control	45408301.0	45917176	44206516	-3.7255
